City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
243,Kulhudhuffushi,MV,6.6221,73.07,82.06,73,40,9.06,scattered clouds
244,Cravo Norte,CO,6.3017,-70.2041,73.56,94,97,2.57,overcast clouds
245,Waddan,LY,29.1614,16.139,73.45,19,0,9.53,clear sky
246,Liberia,LR,6.5,-9.5,78.06,82,35,0.58,scattered clouds
247,Havelock,US,34.8791,-76.9013,48.18,72,0,13.8,clear sky
248,Itacoatiara,BR,-3.1431,-58.4442,75.65,80,100,1.92,overcast clouds
249,Catamarca,AR,-28.4696,-65.7852,80.06,39,0,13.35,clear sky
250,Kemin,KG,42.7846,75.6892,38.89,81,19,1.1,few clouds
251,Mehamn,NO,71.0357,27.8492,42.75,81,75,11.5,broken clouds
252,Stromness,GB,58.965,-3.296,48.87,84,100,28.01,overcast clouds
253,Salalah,OM,17.0151,54.0924,86.09,45,0,6.91,clear sky
254,Blagoyevo,RU,63.3667,47.9167,12.96,85,8,3.74,clear sky
255,Adria,IT,45.0564,12.0578,51.06,82,100,2.95,overcast clouds
256,Ojhar,IN,20.1,73.9333,82.87,25,0,9.15,clear sky
257,Youkounkoun,GN,12.5333,-13.1333,80.62,66,96,2.33,overcast clouds
258,Awjilah,LY,29.1081,21.2869,74.34,23,0,15.66,clear sky
259,Nchelenge,ZM,-9.3451,28.734,77.43,64,66,3.38,light rain
260,Kyshtovka,RU,56.555,76.6271,5.63,89,92,5.28,overcast clouds
261,Beterou,BJ,9.1992,2.2586,84.11,30,9,3.44,clear sky
262,Kasangulu,CD,-4.5911,15.1708,77.88,98,100,0.49,moderate rain
263,Am Timan,TD,11.0297,20.2827,89.78,20,0,8.9,clear sky
264,Piacabucu,BR,-10.4056,-36.4344,77.18,82,61,9.53,broken clouds
265,Barentu,ER,15.1139,37.5928,86.22,24,17,3.6,few clouds
266,Bajil,YE,15.0584,43.2851,89.26,42,8,7.38,clear sky
267,Castro,BR,-24.7911,-50.0119,50.31,92,1,4.38,clear sky
268,Great Yarmouth,GB,52.6083,1.7305,51.46,89,100,7.0,overcast clouds
269,Marsh Harbour,BS,26.5412,-77.0636,77.85,75,17,1.39,few clouds
270,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.7,99,99,1.45,overcast clouds
271,Pangnirtung,CA,66.1451,-65.7125,-2.58,88,99,2.1,overcast clouds
272,Asosa,ET,10.0667,34.5333,79.66,33,7,5.5,clear sky
273,Atar,MR,20.5169,-13.0499,80.33,20,0,11.43,clear sky
274,Bereslavka,RU,48.6254,44.0449,39.97,90,100,14.03,light rain
275,Benguela,AO,-12.5763,13.4055,79.48,65,56,8.05,broken clouds
276,Dobryanka,RU,58.4619,56.4165,16.27,68,6,5.01,clear sky
277,Kamina,CD,-8.7386,24.9906,70.3,75,100,2.35,overcast clouds
278,Monrovia,LR,6.3005,-10.7969,78.8,80,4,2.17,clear sky
279,Chimbarongo,CL,-34.7,-71.05,58.08,66,64,2.98,broken clouds
280,Polonnaruwa,LK,7.9333,81.0,80.92,64,100,7.34,overcast clouds
281,Roald,NO,62.5833,6.1333,50.14,32,0,17.27,clear sky
282,Torbay,CA,47.6666,-52.7314,38.75,94,100,18.41,light rain
283,Guaranesia,BR,-21.2992,-46.8025,61.63,69,0,7.87,clear sky
284,Luanda,AO,-8.8368,13.2343,78.8,73,75,8.05,broken clouds
285,Nova Varos,RS,43.4606,19.8114,49.89,80,58,2.28,broken clouds
286,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,75.22,62,26,4.34,scattered clouds
287,Oum Hadjer,TD,13.2954,19.6966,86.72,17,2,8.5,clear sky
288,Kommunarka,RU,55.5695,37.4893,27.75,90,100,4.47,overcast clouds
289,Beni Suef,EG,29.0731,31.0979,71.62,42,0,5.39,clear sky
290,Husavik,IS,66.0449,-17.3389,45.41,81,82,24.05,broken clouds
291,Sfantu Gheorghe,RO,45.8667,25.7833,49.26,54,100,3.47,overcast clouds
292,Iglino,RU,54.8324,56.4126,21.29,77,98,6.6,overcast clouds
293,Copiapo,CL,-27.3667,-70.3333,55.09,82,0,2.75,clear sky
294,Jalingo,NG,8.8833,11.3667,89.76,24,39,2.46,scattered clouds
295,Knysna,ZA,-34.0363,23.0471,63.57,77,99,7.47,overcast clouds
296,Menongue,AO,-14.6585,17.691,88.2,28,19,4.92,few clouds
297,Sadon,RU,42.8518,44.0037,47.84,60,36,5.64,scattered clouds
298,Codrington,AU,-38.2667,141.9667,53.08,79,10,9.13,clear sky
299,Urumqi,CN,43.801,87.6005,27.55,100,100,8.95,mist
