City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
554,Makokou,GA,78.85,light rain,0.5738,12.8642,Hôtel Arizona
560,Munak,IN,76.91,clear sky,29.5187,76.8486,RAJPUT Dharamshala
570,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
573,Hlotse,LS,77.09,clear sky,-28.8718,28.045,Naleli Guest House
578,Kabwe,ZM,83.97,clear sky,-14.4469,28.4464,Tuskers
580,Ambovombe,MG,81.28,scattered clouds,-25.1667,46.0833,RELAHARA
588,Petauke,ZM,89.06,few clouds,-14.2426,31.3253,Kwamwanja Wanthu
589,Sinnamary,GF,75.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
591,Savannah Bight,HN,81.09,moderate rain,16.45,-85.85,Villa on Dunbar Rock
598,Mahanoro,MG,79.3,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
601,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
608,Kasungu,MW,82.62,scattered clouds,-13.0333,33.4833,Mame Motel
613,Kolondieba,ML,81.68,broken clouds,11.0882,-6.8926,Park
617,Bundibugyo,UG,79.77,light rain,0.7414,30.0417,R.A. Kaliisa Accomodations
620,Angoche,MZ,85.64,overcast clouds,-16.2325,39.9086,Guest House HESADA
624,Meulaboh,ID,82.06,overcast clouds,4.1363,96.1285,Kost Pria
626,Kuruman,ZA,86.99,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
630,Alhandra,BR,75.42,few clouds,-7.4386,-34.9144,Hotel E Pousada Central
640,Lethem,GY,75.69,overcast clouds,3.3803,-59.7968,Savannah Inn
641,Aden,YE,81.45,clear sky,12.7794,45.0367,Sama Emirate Hotel
642,Mattru,SL,77.04,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
645,Nanga Eboko,CM,83.43,light rain,4.6833,12.3667,Motel Papi Palace
649,Chabahar,IR,81.46,clear sky,25.2919,60.643,هتل گدروشیا
660,Savelugu,GH,83.73,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
666,Canto Do Buriti,BR,78.67,broken clouds,-8.11,-42.9444,Novo Hotel
673,Mizan Teferi,ET,77.13,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
