City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Hay River,CA,2022-11-01 09:00:40,60.8156,-115.7999,18.82,91,100,11.25
148,Iqaluit,CA,2022-11-01 09:00:42,63.7506,-68.5145,14.7,72,98,11.01
149,Gat,IL,2022-11-01 09:00:33,31.61,34.7642,77.4,100,0,6.33
150,Katsuura,JP,2022-11-01 09:00:42,35.1333,140.3,62.62,79,100,4.29
151,Airai,TL,2022-11-01 08:53:40,-8.9266,125.4092,66.81,87,100,1.14
152,Kokopo,PG,2022-11-01 09:00:43,-4.352,152.2633,80.4,82,35,6.24
153,Geraldton,AU,2022-11-01 09:00:44,-28.7667,114.6,68.41,56,0,21.85
154,Hensall,CA,2022-11-01 09:00:45,43.4334,-81.4998,55.89,99,100,5.37
155,Bafoulabe,ML,2022-11-01 09:00:46,13.8065,-10.8321,84.54,23,3,5.17
156,Amarante Do Maranhao,BR,2022-11-01 09:00:47,-5.5667,-46.7422,71.49,92,99,3.18
157,Kinsale,IE,2022-11-01 09:00:48,51.7075,-8.5306,49.37,87,75,9.22
158,Duvan,RU,2022-11-01 09:00:49,55.695,57.9024,34.97,90,100,8.52
159,Cidreira,BR,2022-11-01 09:00:50,-30.1811,-50.2056,55.02,72,55,15.03
160,Napier,NZ,2022-11-01 09:00:50,-39.4833,176.9167,61.29,91,2,3.0
161,Fort Nelson,CA,2022-11-01 08:53:32,58.8053,-122.7002,18.99,86,100,13.8
162,Talnakh,RU,2022-11-01 09:00:51,69.4865,88.3972,20.79,94,100,20.8
163,Natal,BR,2022-11-01 08:58:02,-5.795,-35.2094,75.42,83,20,4.61
164,Mirpur Mathelo,PK,2022-11-01 09:00:52,28.0227,69.5489,96.06,18,0,3.83
165,Moose Factory,CA,2022-11-01 09:00:53,51.2585,-80.6094,46.15,78,100,9.91
166,Georgetown,MY,2022-11-01 08:57:28,5.4112,100.3354,86.95,76,20,6.91
167,Faya,SA,2022-11-01 09:00:54,18.3851,42.4509,69.98,29,35,7.81
168,Nhulunbuy,AU,2022-11-01 09:00:55,-12.2333,136.7667,88.41,66,61,11.5
169,Clarence Town,AU,2022-11-01 09:00:55,-32.5833,151.7833,65.86,52,6,11.41
170,Severo-Kurilsk,RU,2022-11-01 08:53:35,50.6789,156.125,35.82,72,27,8.97
171,Ngunguru,NZ,2022-11-01 09:00:57,-35.6167,174.5,60.31,89,21,5.73
172,Bredasdorp,ZA,2022-11-01 08:55:01,-34.5322,20.0403,70.45,46,23,25.17
